archivo,sistema,sede,anio,registros,columnas,columnas_esperadas,columnas_faltantes,columnas_extra,estructura_valida
clinica_espana_2023.csv,clinica,espana,2023,1342,16,16,,,1
clinica_espana_2024.csv,clinica,espana,2024,1317,16,16,,,1
clinica_espana_2025.csv,clinica,espana,2025,1322,16,16,,,1
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,1335,16,16,,,1
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,1341,16,16,,,1
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,1334,16,16,,,1
clinica_mexico_2023.csv,clinica,mexico,2023,1336,16,16,,,1
clinica_mexico_2024.csv,clinica,mexico,2024,1341,16,16,,,1
clinica_mexico_2025.csv,clinica,mexico,2025,1341,16,16,,,1
prescripciones_espana_2023.csv,prescripciones,espana,2023,1130,8,8,,,1
prescripciones_espana_2024.csv,prescripciones,espana,2024,1157,8,8,,,1
prescripciones_espana_2025.csv,prescripciones,espana,2025,1126,8,8,,,1
prescripciones_estados_unidos_2023.csv,prescripciones,estados_unidos,2023,1128,8,8,,,1
prescripciones_estados_unidos_2024.csv,prescripciones,estados_unidos,2024,1170,8,8,,,1
prescripciones_estados_unidos_2025.csv,prescripciones,estados_unidos,2025,1145,8,8,,,1
prescripciones_mexico_2023.csv,prescripciones,mexico,2023,1163,8,8,,,1
prescripciones_mexico_2024.csv,prescripciones,mexico,2024,1132,8,8,,,1
prescripciones_mexico_2025.csv,prescripciones,mexico,2025,1117,8,8,,,1
transacciones_espana_2023.csv,transacciones,espana,2023,1667,11,11,,,1
transacciones_espana_2024.csv,transacciones,espana,2024,1667,11,11,,,1
transacciones_espana_2025.csv,transacciones,espana,2025,1666,11,11,,,1
transacciones_estados_unidos_2023.csv,transacciones,estados_unidos,2023,1667,11,11,,,1
transacciones_estados_unidos_2024.csv,transacciones,estados_unidos,2024,1667,11,11,,,1
transacciones_estados_unidos_2025.csv,transacciones,estados_unidos,2025,1666,11,11,,,1
transacciones_mexico_2023.csv,transacciones,mexico,2023,1667,11,11,,,1
transacciones_mexico_2024.csv,transacciones,mexico,2024,1667,11,11,,,1
transacciones_mexico_2025.csv,transacciones,mexico,2025,1666,11,11,,,1
