archivo,sistema,sede,anio,registros,duplicados_exactos,ids_duplicados_distintos,filas_con_id_repetido_adicionales
clinica_espana_2023.csv,clinica,espana,2023,1342,0,229,268
clinica_espana_2024.csv,clinica,espana,2024,1317,0,230,260
clinica_espana_2025.csv,clinica,espana,2025,1322,0,239,271
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,1335,0,249,283
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,1341,0,255,289
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,1334,0,231,264
clinica_mexico_2023.csv,clinica,mexico,2023,1336,0,232,275
clinica_mexico_2024.csv,clinica,mexico,2024,1341,0,253,294
clinica_mexico_2025.csv,clinica,mexico,2025,1341,0,235,264
prescripciones_espana_2023.csv,prescripciones,espana,2023,1130,0,0,0
prescripciones_espana_2024.csv,prescripciones,espana,2024,1157,0,0,0
prescripciones_espana_2025.csv,prescripciones,espana,2025,1126,0,0,0
prescripciones_estados_unidos_2023.csv,prescripciones,estados_unidos,2023,1128,0,0,0
prescripciones_estados_unidos_2024.csv,prescripciones,estados_unidos,2024,1170,0,0,0
prescripciones_estados_unidos_2025.csv,prescripciones,estados_unidos,2025,1145,0,0,0
prescripciones_mexico_2023.csv,prescripciones,mexico,2023,1163,0,0,0
prescripciones_mexico_2024.csv,prescripciones,mexico,2024,1132,0,0,0
prescripciones_mexico_2025.csv,prescripciones,mexico,2025,1117,0,0,0
transacciones_espana_2023.csv,transacciones,espana,2023,1667,0,0,0
transacciones_espana_2024.csv,transacciones,espana,2024,1667,0,0,0
transacciones_espana_2025.csv,transacciones,espana,2025,1666,0,1,1
transacciones_estados_unidos_2023.csv,transacciones,estados_unidos,2023,1667,0,0,0
transacciones_estados_unidos_2024.csv,transacciones,estados_unidos,2024,1667,0,0,0
transacciones_estados_unidos_2025.csv,transacciones,estados_unidos,2025,1666,0,1,1
transacciones_mexico_2023.csv,transacciones,mexico,2023,1667,0,0,0
transacciones_mexico_2024.csv,transacciones,mexico,2024,1667,0,0,0
transacciones_mexico_2025.csv,transacciones,mexico,2025,1666,0,0,0
