archivo,sistema,sede,anio,regla,hallazgos,porcentaje
clinica_espana_2023.csv,clinica,espana,2023,presion_formato_invalido,24,1.788
clinica_espana_2023.csv,clinica,espana,2023,fecha_estudios_invalida,56,4.173
clinica_espana_2023.csv,clinica,espana,2023,glucosa_no_numerico_o_faltante,12,0.894
clinica_espana_2023.csv,clinica,espana,2023,frecuencia_card_no_numerico_o_faltante,11,0.82
clinica_espana_2023.csv,clinica,espana,2023,oxigenacion_no_numerico_o_faltante,19,1.416
clinica_espana_2023.csv,clinica,espana,2023,hemoglobina_no_numerico_o_faltante,10,0.745
clinica_espana_2023.csv,clinica,espana,2023,trigliceridos_no_numerico_o_faltante,18,1.341
clinica_espana_2023.csv,clinica,espana,2023,colesterol_LDL_no_numerico_o_faltante,16,1.192
clinica_espana_2023.csv,clinica,espana,2023,colesterol_HDL_no_numerico_o_faltante,13,0.969
clinica_espana_2023.csv,clinica,espana,2023,altura_cm_no_numerico_o_faltante,8,0.596
clinica_espana_2023.csv,clinica,espana,2023,peso_kg_no_numerico_o_faltante,12,0.894
clinica_espana_2024.csv,clinica,espana,2024,altura_cm_no_numerico_o_faltante,17,1.291
clinica_espana_2024.csv,clinica,espana,2024,frecuencia_card_no_numerico_o_faltante,12,0.911
clinica_espana_2024.csv,clinica,espana,2024,colesterol_LDL_no_numerico_o_faltante,16,1.215
clinica_espana_2024.csv,clinica,espana,2024,glucosa_no_numerico_o_faltante,10,0.759
clinica_espana_2024.csv,clinica,espana,2024,peso_kg_no_numerico_o_faltante,17,1.291
clinica_espana_2024.csv,clinica,espana,2024,fecha_estudios_invalida,35,2.658
clinica_espana_2024.csv,clinica,espana,2024,colesterol_HDL_no_numerico_o_faltante,13,0.987
clinica_espana_2024.csv,clinica,espana,2024,hemoglobina_no_numerico_o_faltante,15,1.139
clinica_espana_2024.csv,clinica,espana,2024,trigliceridos_no_numerico_o_faltante,8,0.607
clinica_espana_2024.csv,clinica,espana,2024,presion_formato_invalido,23,1.746
clinica_espana_2024.csv,clinica,espana,2024,oxigenacion_no_numerico_o_faltante,15,1.139
clinica_espana_2025.csv,clinica,espana,2025,fecha_estudios_invalida,36,2.723
clinica_espana_2025.csv,clinica,espana,2025,presion_formato_invalido,26,1.967
clinica_espana_2025.csv,clinica,espana,2025,hemoglobina_no_numerico_o_faltante,19,1.437
clinica_espana_2025.csv,clinica,espana,2025,colesterol_HDL_no_numerico_o_faltante,13,0.983
clinica_espana_2025.csv,clinica,espana,2025,oxigenacion_no_numerico_o_faltante,15,1.135
clinica_espana_2025.csv,clinica,espana,2025,peso_kg_no_numerico_o_faltante,11,0.832
clinica_espana_2025.csv,clinica,espana,2025,altura_cm_no_numerico_o_faltante,10,0.756
clinica_espana_2025.csv,clinica,espana,2025,colesterol_LDL_no_numerico_o_faltante,16,1.21
clinica_espana_2025.csv,clinica,espana,2025,trigliceridos_no_numerico_o_faltante,22,1.664
clinica_espana_2025.csv,clinica,espana,2025,frecuencia_card_no_numerico_o_faltante,9,0.681
clinica_espana_2025.csv,clinica,espana,2025,glucosa_no_numerico_o_faltante,12,0.908
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,colesterol_HDL_no_numerico_o_faltante,21,1.573
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,oxigenacion_no_numerico_o_faltante,15,1.124
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,presion_formato_invalido,26,1.948
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,fecha_estudios_invalida,37,2.772
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,glucosa_no_numerico_o_faltante,9,0.674
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,altura_cm_no_numerico_o_faltante,14,1.049
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,trigliceridos_no_numerico_o_faltante,8,0.599
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,colesterol_LDL_no_numerico_o_faltante,19,1.423
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,hemoglobina_no_numerico_o_faltante,15,1.124
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,peso_kg_no_numerico_o_faltante,11,0.824
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,frecuencia_card_no_numerico_o_faltante,11,0.824
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,fecha_estudios_invalida,46,3.43
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,peso_kg_no_numerico_o_faltante,18,1.342
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,presion_formato_invalido,15,1.119
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,altura_cm_no_numerico_o_faltante,10,0.746
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,trigliceridos_no_numerico_o_faltante,16,1.193
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,frecuencia_card_no_numerico_o_faltante,10,0.746
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,hemoglobina_no_numerico_o_faltante,13,0.969
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,oxigenacion_no_numerico_o_faltante,18,1.342
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,colesterol_LDL_no_numerico_o_faltante,15,1.119
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,colesterol_HDL_no_numerico_o_faltante,12,0.895
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,glucosa_no_numerico_o_faltante,11,0.82
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,altura_cm_no_numerico_o_faltante,15,1.124
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,colesterol_LDL_no_numerico_o_faltante,10,0.75
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,fecha_estudios_invalida,35,2.624
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,peso_kg_no_numerico_o_faltante,14,1.049
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,oxigenacion_no_numerico_o_faltante,17,1.274
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,hemoglobina_no_numerico_o_faltante,9,0.675
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,frecuencia_card_no_numerico_o_faltante,13,0.975
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,presion_formato_invalido,30,2.249
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,glucosa_no_numerico_o_faltante,14,1.049
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,colesterol_HDL_no_numerico_o_faltante,18,1.349
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,trigliceridos_no_numerico_o_faltante,13,0.975
clinica_mexico_2023.csv,clinica,mexico,2023,trigliceridos_no_numerico_o_faltante,14,1.048
clinica_mexico_2023.csv,clinica,mexico,2023,fecha_estudios_invalida,45,3.368
clinica_mexico_2023.csv,clinica,mexico,2023,presion_formato_invalido,34,2.545
clinica_mexico_2023.csv,clinica,mexico,2023,frecuencia_card_no_numerico_o_faltante,15,1.123
clinica_mexico_2023.csv,clinica,mexico,2023,altura_cm_no_numerico_o_faltante,15,1.123
clinica_mexico_2023.csv,clinica,mexico,2023,colesterol_LDL_no_numerico_o_faltante,14,1.048
clinica_mexico_2023.csv,clinica,mexico,2023,glucosa_no_numerico_o_faltante,11,0.823
clinica_mexico_2023.csv,clinica,mexico,2023,hemoglobina_no_numerico_o_faltante,10,0.749
clinica_mexico_2023.csv,clinica,mexico,2023,peso_kg_no_numerico_o_faltante,17,1.272
clinica_mexico_2023.csv,clinica,mexico,2023,colesterol_HDL_no_numerico_o_faltante,13,0.973
clinica_mexico_2023.csv,clinica,mexico,2023,oxigenacion_no_numerico_o_faltante,6,0.449
clinica_mexico_2024.csv,clinica,mexico,2024,fecha_estudios_invalida,35,2.61
clinica_mexico_2024.csv,clinica,mexico,2024,colesterol_HDL_no_numerico_o_faltante,13,0.969
clinica_mexico_2024.csv,clinica,mexico,2024,hemoglobina_no_numerico_o_faltante,18,1.342
clinica_mexico_2024.csv,clinica,mexico,2024,altura_cm_no_numerico_o_faltante,17,1.268
clinica_mexico_2024.csv,clinica,mexico,2024,oxigenacion_no_numerico_o_faltante,17,1.268
clinica_mexico_2024.csv,clinica,mexico,2024,presion_formato_invalido,36,2.685
