archivo,sistema,sede,anio,regla,hallazgos,porcentaje
clinica_espana_2023.csv,clinica,espana,2023,edad_fuera_rango_humano,65,3.899
clinica_espana_2023.csv,clinica,espana,2023,oxigenacion_fuera_0_100,20,1.2
clinica_espana_2024.csv,clinica,espana,2024,oxigenacion_fuera_0_100,30,1.8
clinica_espana_2024.csv,clinica,espana,2024,edad_fuera_rango_humano,43,2.579
clinica_espana_2025.csv,clinica,espana,2025,edad_fuera_rango_humano,65,3.902
clinica_espana_2025.csv,clinica,espana,2025,oxigenacion_fuera_0_100,25,1.501
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,edad_fuera_rango_humano,61,3.659
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,oxigenacion_fuera_0_100,26,1.56
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,oxigenacion_fuera_0_100,23,1.38
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,edad_fuera_rango_humano,44,2.639
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,edad_fuera_rango_humano,46,2.761
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,oxigenacion_fuera_0_100,26,1.561
clinica_mexico_2023.csv,clinica,mexico,2023,oxigenacion_fuera_0_100,27,1.62
clinica_mexico_2023.csv,clinica,mexico,2023,edad_fuera_rango_humano,62,3.719
clinica_mexico_2024.csv,clinica,mexico,2024,oxigenacion_fuera_0_100,20,1.2
clinica_mexico_2024.csv,clinica,mexico,2024,edad_fuera_rango_humano,47,2.819
clinica_mexico_2025.csv,clinica,mexico,2025,edad_fuera_rango_humano,47,2.821
clinica_mexico_2025.csv,clinica,mexico,2025,oxigenacion_fuera_0_100,28,1.681
prescripciones_espana_2023.csv,prescripciones,espana,2023,unidades_medicamento_inusuales,32,3.415
prescripciones_espana_2024.csv,prescripciones,espana,2024,unidades_medicamento_inusuales,40,4.41
prescripciones_espana_2025.csv,prescripciones,espana,2025,unidades_medicamento_inusuales,40,4.54
prescripciones_estados_unidos_2023.csv,prescripciones,estados_unidos,2023,unidades_medicamento_inusuales,24,2.746
prescripciones_estados_unidos_2024.csv,prescripciones,estados_unidos,2024,unidades_medicamento_inusuales,42,4.502
prescripciones_estados_unidos_2025.csv,prescripciones,estados_unidos,2025,unidades_medicamento_inusuales,45,4.818
prescripciones_mexico_2023.csv,prescripciones,mexico,2023,unidades_medicamento_inusuales,34,3.692
prescripciones_mexico_2024.csv,prescripciones,mexico,2024,unidades_medicamento_inusuales,26,2.778
prescripciones_mexico_2025.csv,prescripciones,mexico,2025,unidades_medicamento_inusuales,42,4.492
transacciones_espana_2023.csv,transacciones,espana,2023,monto_cero_o_negativo,41,2.46
transacciones_espana_2023.csv,transacciones,espana,2023,fecha_primer_registro_posterior_a_fecha,102,6.119
transacciones_espana_2024.csv,transacciones,espana,2024,monto_cero_o_negativo,32,1.92
transacciones_espana_2025.csv,transacciones,espana,2025,monto_cero_o_negativo,20,1.2
transacciones_estados_unidos_2023.csv,transacciones,estados_unidos,2023,monto_cero_o_negativo,43,2.579
transacciones_estados_unidos_2023.csv,transacciones,estados_unidos,2023,fecha_primer_registro_posterior_a_fecha,97,5.819
transacciones_estados_unidos_2024.csv,transacciones,estados_unidos,2024,monto_cero_o_negativo,28,1.68
transacciones_estados_unidos_2025.csv,transacciones,estados_unidos,2025,monto_cero_o_negativo,35,2.101
transacciones_mexico_2023.csv,transacciones,mexico,2023,fecha_primer_registro_posterior_a_fecha,94,5.639
transacciones_mexico_2023.csv,transacciones,mexico,2023,monto_cero_o_negativo,31,1.86
transacciones_mexico_2024.csv,transacciones,mexico,2024,monto_cero_o_negativo,32,1.92
transacciones_mexico_2025.csv,transacciones,mexico,2025,monto_cero_o_negativo,32,1.921
