archivo,sistema,sede,anio,regla,hallazgos,porcentaje
clinica_espana_2023.csv,clinica,espana,2023,colesterol_HDL_outlier,38,2.832
clinica_espana_2023.csv,clinica,espana,2023,peso_kg_outlier,36,2.683
clinica_espana_2023.csv,clinica,espana,2023,frecuencia_card_outlier,46,3.428
clinica_espana_2023.csv,clinica,espana,2023,altura_cm_outlier,42,3.13
clinica_espana_2023.csv,clinica,espana,2023,hemoglobina_outlier,45,3.353
clinica_espana_2023.csv,clinica,espana,2023,glucosa_outlier,34,2.534
clinica_espana_2023.csv,clinica,espana,2023,colesterol_LDL_outlier,42,3.13
clinica_espana_2023.csv,clinica,espana,2023,trigliceridos_outlier,37,2.757
clinica_espana_2024.csv,clinica,espana,2024,glucosa_outlier,45,3.417
clinica_espana_2024.csv,clinica,espana,2024,trigliceridos_outlier,29,2.202
clinica_espana_2024.csv,clinica,espana,2024,colesterol_HDL_outlier,37,2.809
clinica_espana_2024.csv,clinica,espana,2024,hemoglobina_outlier,37,2.809
clinica_espana_2024.csv,clinica,espana,2024,colesterol_LDL_outlier,48,3.645
clinica_espana_2024.csv,clinica,espana,2024,altura_cm_outlier,32,2.43
clinica_espana_2024.csv,clinica,espana,2024,peso_kg_outlier,48,3.645
clinica_espana_2024.csv,clinica,espana,2024,frecuencia_card_outlier,46,3.493
clinica_espana_2025.csv,clinica,espana,2025,frecuencia_card_outlier,36,2.723
clinica_espana_2025.csv,clinica,espana,2025,colesterol_HDL_outlier,38,2.874
clinica_espana_2025.csv,clinica,espana,2025,peso_kg_outlier,48,3.631
clinica_espana_2025.csv,clinica,espana,2025,trigliceridos_outlier,43,3.253
clinica_espana_2025.csv,clinica,espana,2025,hemoglobina_outlier,39,2.95
clinica_espana_2025.csv,clinica,espana,2025,colesterol_LDL_outlier,45,3.404
clinica_espana_2025.csv,clinica,espana,2025,glucosa_outlier,36,2.723
clinica_espana_2025.csv,clinica,espana,2025,altura_cm_outlier,30,2.269
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,frecuencia_card_outlier,45,3.371
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,peso_kg_outlier,37,2.772
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,altura_cm_outlier,36,2.697
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,hemoglobina_outlier,42,3.146
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,colesterol_LDL_outlier,41,3.071
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,colesterol_HDL_outlier,31,2.322
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,trigliceridos_outlier,48,3.596
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,glucosa_outlier,36,2.697
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,frecuencia_card_outlier,53,3.952
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,hemoglobina_outlier,37,2.759
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,peso_kg_outlier,39,2.908
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,glucosa_outlier,40,2.983
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,colesterol_HDL_outlier,34,2.535
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,trigliceridos_outlier,45,3.356
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,colesterol_LDL_outlier,38,2.834
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,altura_cm_outlier,44,3.281
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,peso_kg_outlier,54,4.048
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,glucosa_outlier,35,2.624
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,trigliceridos_outlier,31,2.324
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,frecuencia_card_outlier,46,3.448
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,colesterol_HDL_outlier,40,2.999
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,hemoglobina_outlier,39,2.924
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,altura_cm_outlier,29,2.174
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,colesterol_LDL_outlier,42,3.148
clinica_mexico_2023.csv,clinica,mexico,2023,frecuencia_card_outlier,48,3.593
clinica_mexico_2023.csv,clinica,mexico,2023,altura_cm_outlier,32,2.395
clinica_mexico_2023.csv,clinica,mexico,2023,glucosa_outlier,35,2.62
clinica_mexico_2023.csv,clinica,mexico,2023,peso_kg_outlier,36,2.695
clinica_mexico_2023.csv,clinica,mexico,2023,colesterol_LDL_outlier,43,3.219
clinica_mexico_2023.csv,clinica,mexico,2023,hemoglobina_outlier,45,3.368
clinica_mexico_2023.csv,clinica,mexico,2023,trigliceridos_outlier,47,3.518
clinica_mexico_2023.csv,clinica,mexico,2023,colesterol_HDL_outlier,53,3.967
clinica_mexico_2024.csv,clinica,mexico,2024,hemoglobina_outlier,60,4.474
clinica_mexico_2024.csv,clinica,mexico,2024,peso_kg_outlier,46,3.43
clinica_mexico_2024.csv,clinica,mexico,2024,colesterol_HDL_outlier,44,3.281
clinica_mexico_2024.csv,clinica,mexico,2024,glucosa_outlier,41,3.057
clinica_mexico_2024.csv,clinica,mexico,2024,trigliceridos_outlier,47,3.505
clinica_mexico_2024.csv,clinica,mexico,2024,altura_cm_outlier,56,4.176
clinica_mexico_2024.csv,clinica,mexico,2024,colesterol_LDL_outlier,37,2.759
clinica_mexico_2024.csv,clinica,mexico,2024,frecuencia_card_outlier,39,2.908
clinica_mexico_2025.csv,clinica,mexico,2025,altura_cm_outlier,43,3.207
clinica_mexico_2025.csv,clinica,mexico,2025,frecuencia_card_outlier,46,3.43
clinica_mexico_2025.csv,clinica,mexico,2025,peso_kg_outlier,40,2.983
clinica_mexico_2025.csv,clinica,mexico,2025,hemoglobina_outlier,41,3.057
clinica_mexico_2025.csv,clinica,mexico,2025,colesterol_LDL_outlier,40,2.983
clinica_mexico_2025.csv,clinica,mexico,2025,glucosa_outlier,50,3.729
clinica_mexico_2025.csv,clinica,mexico,2025,colesterol_HDL_outlier,34,2.535
clinica_mexico_2025.csv,clinica,mexico,2025,trigliceridos_outlier,35,2.61
transacciones_espana_2023.csv,transacciones,espana,2023,monto_outlier_alto,43,2.579
