archivo,sistema,sede,anio,registros,faltantes,formatos_invalidos,inconsistencias,outliers,duplicados,score_calidad
clinica_espana_2023.csv,clinica,espana,2023,1667,3500,3537,85,276,417,86.88
clinica_espana_2024.csv,clinica,espana,2024,1667,3440,3484,73,303,408,86.96
clinica_espana_2025.csv,clinica,espana,2025,1666,3270,3308,90,291,395,87.26
clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,1667,3315,3354,87,316,413,86.84
clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,1667,3255,3286,67,293,428,87.26
clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,1666,3275,3305,72,295,443,87.01
clinica_mexico_2023.csv,clinica,mexico,2023,1667,3310,3348,89,331,436,86.48
clinica_mexico_2024.csv,clinica,mexico,2024,1667,3340,3369,67,333,431,86.73
clinica_mexico_2025.csv,clinica,mexico,2025,1666,3215,3246,75,291,407,87.43
prescripciones_espana_2023.csv,prescripciones,espana,2023,937,0,0,32,0,0,99.32
prescripciones_espana_2024.csv,prescripciones,espana,2024,907,0,0,40,0,0,99.12
prescripciones_espana_2025.csv,prescripciones,espana,2025,881,0,0,40,0,0,99.09
prescripciones_estados_unidos_2023.csv,prescripciones,estados_unidos,2023,874,0,0,24,0,0,99.45
prescripciones_estados_unidos_2024.csv,prescripciones,estados_unidos,2024,933,0,0,42,0,0,99.1
prescripciones_estados_unidos_2025.csv,prescripciones,estados_unidos,2025,934,0,0,45,0,0,99.04
prescripciones_mexico_2023.csv,prescripciones,mexico,2023,921,0,0,34,0,0,99.26
prescripciones_mexico_2024.csv,prescripciones,mexico,2024,936,0,0,26,0,0,99.44
prescripciones_mexico_2025.csv,prescripciones,mexico,2025,935,0,0,42,0,0,99.1
transacciones_espana_2023.csv,transacciones,espana,2023,1667,206,451,143,54,0,96.98
transacciones_espana_2024.csv,transacciones,espana,2024,1667,183,446,32,48,1,98.39
transacciones_espana_2025.csv,transacciones,espana,2025,1666,193,441,20,40,0,98.61
transacciones_estados_unidos_2023.csv,transacciones,estados_unidos,2023,1667,195,435,140,39,1,97.17
transacciones_estados_unidos_2024.csv,transacciones,estados_unidos,2024,1667,196,443,28,53,0,98.39
transacciones_estados_unidos_2025.csv,transacciones,estados_unidos,2025,1666,197,442,35,46,0,98.37
transacciones_mexico_2023.csv,transacciones,mexico,2023,1667,202,421,125,49,0,97.28
transacciones_mexico_2024.csv,transacciones,mexico,2024,1667,171,428,32,41,0,98.5
transacciones_mexico_2025.csv,transacciones,mexico,2025,1666,176,411,32,52,0,98.41
