file_id,source_file,source_system,source_country,source_year,source_path
FILE_001,clinica_espana_2023.csv,clinica,espana,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_espana_2023.csv
FILE_002,clinica_espana_2024.csv,clinica,espana,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_espana_2024.csv
FILE_003,clinica_espana_2025.csv,clinica,espana,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_espana_2025.csv
FILE_004,clinica_estados_unidos_2023.csv,clinica,estados_unidos,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_estados_unidos_2023.csv
FILE_005,clinica_estados_unidos_2024.csv,clinica,estados_unidos,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_estados_unidos_2024.csv
FILE_006,clinica_estados_unidos_2025.csv,clinica,estados_unidos,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_estados_unidos_2025.csv
FILE_007,clinica_mexico_2023.csv,clinica,mexico,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_mexico_2023.csv
FILE_008,clinica_mexico_2024.csv,clinica,mexico,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_mexico_2024.csv
FILE_009,clinica_mexico_2025.csv,clinica,mexico,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\clinica_mexico_2025.csv
FILE_010,prescripciones_espana_2023.csv,prescripciones,espana,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_espana_2023.csv
FILE_011,prescripciones_espana_2024.csv,prescripciones,espana,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_espana_2024.csv
FILE_012,prescripciones_espana_2025.csv,prescripciones,espana,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_espana_2025.csv
FILE_013,prescripciones_estados_unidos_2023.csv,prescripciones,estados_unidos,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_estados_unidos_2023.csv
FILE_014,prescripciones_estados_unidos_2024.csv,prescripciones,estados_unidos,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_estados_unidos_2024.csv
FILE_015,prescripciones_estados_unidos_2025.csv,prescripciones,estados_unidos,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_estados_unidos_2025.csv
FILE_016,prescripciones_mexico_2023.csv,prescripciones,mexico,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_mexico_2023.csv
FILE_017,prescripciones_mexico_2024.csv,prescripciones,mexico,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_mexico_2024.csv
FILE_018,prescripciones_mexico_2025.csv,prescripciones,mexico,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\prescripciones_mexico_2025.csv
FILE_019,transacciones_espana_2023.csv,transacciones,espana,2023,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\transacciones_espana_2023.csv
FILE_020,transacciones_espana_2024.csv,transacciones,espana,2024,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\transacciones_espana_2024.csv
FILE_021,transacciones_espana_2025.csv,transacciones,espana,2025,C:\Users\mauricio\Desktop\Mau\Escuela\8VO SEMESTRE\MasterDataManagement_CyP2026\02_Datos_Crudos\transacciones_espana_2025.csv
