variable,total_registros,nulos_o_vacios,no_numericos,completitud_pct,minimo,q1,mediana,q3,maximo,iqr_lower,iqr_upper,outliers_iqr
edad,15000,0,0,100.0,-3.0,26.0,42.0,59.0,150.0,-23.5,108.5,211
glucosa,15000,5984,0,60.11,20.0,87.0,101.0,123.0,999.0,33.0,177.0,1012
colesterol_LDL,15000,5984,0,60.11,-20.0,98.0,127.0,154.0,450.0,14.0,238.0,705
colesterol_HDL,15000,5984,0,60.11,-10.0,44.0,57.0,72.0,180.0,2.0,114.0,293
trigliceridos,15000,5984,0,60.11,-50.0,110.0,178.0,291.0,1400.0,-161.5,562.5,388
hemoglobina,15000,5984,0,60.11,3.0,13.3,14.4,15.5,25.5,10.0,18.8,545
frecuencia_card,15000,0,0,100.0,0.0,72.0,85.0,98.0,250.0,33.0,137.0,450
peso_kg,15000,0,0,100.0,5.0,61.3,74.7,91.0,350.0,16.75,135.55,509
altura_cm,15000,0,0,100.0,30.0,161.0,168.0,175.0,260.0,140.0,196.0,434
oxigenacion,15000,0,0,100.0,45.0,95.0,97.0,98.0,130.0,90.5,102.5,1619
presion_sistolica,15000,317,0,97.89,105.0,114.0,124.0,133.0,999.0,85.5,161.5,1214
presion_diastolica,15000,317,0,97.89,65.0,72.0,79.0,86.0,150.0,51.0,107.0,424
fumador,15000,0,0,100.0,,,,,,,,"categorica: {'1': 4517, '0': 10483}"
