source_system,column,records,null_or_blank,completeness_pct,cardinality
transacciones,id_transaccion,15000,0,100.0,14997
transacciones,fecha,15000,0,100.0,2834
transacciones,nombre_paciente,15000,0,100.0,7762
transacciones,tipo_consulta,15000,0,100.0,7
transacciones,telefono_contacto,15000,423,97.18,10020
transacciones,correo_electronico,15000,1164,92.24,7742
transacciones,direccion,15000,0,100.0,6749
transacciones,monto_cobro,15000,132,99.12,3536
transacciones,metodo_pago,15000,0,100.0,3
transacciones,registro_previo,15000,0,100.0,2
transacciones,fecha_primer_registro,15000,0,100.0,4665
transacciones,source_file,15000,0,100.0,9
transacciones,source_system,15000,0,100.0,1
transacciones,source_country,15000,0,100.0,3
transacciones,source_year,15000,0,100.0,3
transacciones,source_row_index,15000,0,100.0,1667
transacciones,source_record_key,15000,0,100.0,15000
transacciones,source_record_id,15000,0,100.0,14997
transacciones,source_name_raw,15000,0,100.0,7762
transacciones,full_name_std,15000,0,100.0,7164
transacciones,nombre_std,15000,0,100.0,76
transacciones,apellido1_std,15000,0,100.0,150
transacciones,apellido2_std,15000,1062,92.92,31
transacciones,nombre_soundex,15000,0,100.0,67
transacciones,apellido1_soundex,15000,0,100.0,72
transacciones,fecha_iso,15000,0,100.0,1096
transacciones,fecha_primer_registro_iso,15000,431,97.127,2157
transacciones,phone_std,15000,423,97.18,9276
transacciones,email_std,15000,2175,85.5,6409
transacciones,contacto_disponible,15000,0,100.0,2
transacciones,birth_date_iso,15000,15000,0.0,0
transacciones,sex,15000,15000,0.0,0
clinica,id_lab,15000,0,100.0,6741
clinica,nombre_completo,15000,0,100.0,11174
clinica,sexo,15000,0,100.0,2
clinica,fecha_nacimiento,15000,0,100.0,6447
clinica,edad,15000,0,100.0,104
clinica,glucosa,15000,5984,60.107,184
clinica,colesterol_LDL,15000,5984,60.107,193
clinica,colesterol_HDL,15000,5984,60.107,63
clinica,trigliceridos,15000,5984,60.107,553
clinica,hemoglobina,15000,5984,60.107,98
clinica,frecuencia_card,15000,0,100.0,80
clinica,presion_arterial,15000,0,100.0,1840
clinica,peso_kg,15000,0,100.0,976
clinica,altura_cm,15000,0,100.0,43
clinica,tipo_sangre,15000,0,100.0,8
clinica,fumador,15000,0,100.0,2
clinica,oxigenacion,15000,0,100.0,15
clinica,fecha_estudios,15000,0,100.0,2861
clinica,source_file,15000,0,100.0,9
clinica,source_system,15000,0,100.0,1
clinica,source_country,15000,0,100.0,3
clinica,source_year,15000,0,100.0,3
clinica,source_row_index,15000,0,100.0,1667
clinica,source_record_key,15000,0,100.0,15000
clinica,source_record_id,15000,0,100.0,6741
clinica,source_name_raw,15000,0,100.0,11174
clinica,full_name_std,15000,0,100.0,7164
clinica,nombre_std,15000,0,100.0,76
clinica,apellido1_std,15000,0,100.0,150
clinica,apellido2_std,15000,1062,92.92,31
clinica,nombre_soundex,15000,0,100.0,67
clinica,apellido1_soundex,15000,0,100.0,72
clinica,fecha_estudios_iso,15000,0,100.0,1106
clinica,birth_date_iso,15000,0,100.0,6040
clinica,sex,15000,0,100.0,2
clinica,phone_std,15000,15000,0.0,0
clinica,email_std,15000,15000,0.0,0
clinica,contacto_disponible,15000,0,100.0,1
prescripciones,id_farmacia,8237,0,100.0,8237
prescripciones,nombre_completo,8237,0,100.0,6927
prescripciones,medicamentos_unidades,8237,0,100.0,3296
prescripciones,fecha_prescripcion,8237,0,100.0,2643
prescripciones,medico_cargo,8237,0,100.0,15
prescripciones,sucursal,8237,0,100.0,9
prescripciones,source_file,8237,0,100.0,9
prescripciones,source_system,8237,0,100.0,1
prescripciones,source_country,8237,0,100.0,3
prescripciones,source_year,8237,0,100.0,3
prescripciones,source_row_index,8237,0,100.0,937
prescripciones,source_record_key,8237,0,100.0,8237
prescripciones,source_record_id,8237,0,100.0,8237
prescripciones,source_name_raw,8237,0,100.0,6927
prescripciones,full_name_std,8237,0,100.0,5213
prescripciones,nombre_std,8237,0,100.0,76
prescripciones,apellido1_std,8237,0,100.0,137
prescripciones,apellido2_std,8237,575,93.019,31
prescripciones,nombre_soundex,8237,0,100.0,67
prescripciones,apellido1_soundex,8237,0,100.0,67
prescripciones,fecha_prescripcion_iso,8237,0,100.0,1095
prescripciones,birth_date_iso,8237,8237,0.0,0
prescripciones,sex,8237,8237,0.0,0
prescripciones,phone_std,8237,8237,0.0,0
prescripciones,email_std,8237,8237,0.0,0
prescripciones,contacto_disponible,8237,0,100.0,1
