id_medicamento,nombre_medicamento,costo_unitario_eur,moneda,cost_type
MED_ACIDOFOLICO,acidofolico,0.18,EUR,SYNTHETIC_CONFIGURABLE
MED_AMLODIPINO,amlodipino,0.32,EUR,SYNTHETIC_CONFIGURABLE
MED_AMOXICILINA,amoxicilina,0.48,EUR,SYNTHETIC_CONFIGURABLE
MED_ATORVASTATINA,atorvastatina,0.58,EUR,SYNTHETIC_CONFIGURABLE
MED_BUPROPION,bupropion,1.10,EUR,SYNTHETIC_CONFIGURABLE
MED_DICLOFENACO,diclofenaco,0.30,EUR,SYNTHETIC_CONFIGURABLE
MED_ENALAPRIL,enalapril,0.22,EUR,SYNTHETIC_CONFIGURABLE
MED_GABAPENTINA,gabapentina,0.44,EUR,SYNTHETIC_CONFIGURABLE
MED_GLIBENCLAMIDA,glibenclamida,0.24,EUR,SYNTHETIC_CONFIGURABLE
MED_IBUPROFENO,ibuprofeno,0.16,EUR,SYNTHETIC_CONFIGURABLE
MED_INSULINA,insulina,6.80,EUR,SYNTHETIC_CONFIGURABLE
MED_KETOROLACO,ketorolaco,0.75,EUR,SYNTHETIC_CONFIGURABLE
MED_LEVOTIROXINA,levotiroxina,0.14,EUR,SYNTHETIC_CONFIGURABLE
MED_LORATADINA,loratadina,0.20,EUR,SYNTHETIC_CONFIGURABLE
MED_LOSARTAN,losartan,0.34,EUR,SYNTHETIC_CONFIGURABLE
MED_METFORMINA,metformina,0.20,EUR,SYNTHETIC_CONFIGURABLE
MED_NAPROXENO,naproxeno,0.26,EUR,SYNTHETIC_CONFIGURABLE
MED_OMEPRAZOL,omeprazol,0.28,EUR,SYNTHETIC_CONFIGURABLE
MED_ORLISTAT,orlistat,1.35,EUR,SYNTHETIC_CONFIGURABLE
MED_PARACETAMOL,paracetamol,0.12,EUR,SYNTHETIC_CONFIGURABLE
MED_PREGABALINA,pregabalina,0.92,EUR,SYNTHETIC_CONFIGURABLE
MED_ROSUVASTATINA,rosuvastatina,0.72,EUR,SYNTHETIC_CONFIGURABLE
MED_SULFATOFERROSO,sulfatoferroso,0.16,EUR,SYNTHETIC_CONFIGURABLE
MED_VARENICLINA,vareniclina,1.85,EUR,SYNTHETIC_CONFIGURABLE
