id_medicamento,nombre_medicamento,pais,anio,bimestre,unidades_solicitadas,moneda
MED_ACIDOFOLICO,acidofolico,espana,2023,1,16,EUR
MED_ACIDOFOLICO,acidofolico,espana,2023,2,16,EUR
MED_ACIDOFOLICO,acidofolico,espana,2023,3,19,EUR
MED_ACIDOFOLICO,acidofolico,espana,2023,4,12,EUR
MED_ACIDOFOLICO,acidofolico,espana,2023,5,22,EUR
MED_ACIDOFOLICO,acidofolico,espana,2023,6,8,EUR
MED_ACIDOFOLICO,acidofolico,espana,2024,1,13,EUR
MED_ACIDOFOLICO,acidofolico,espana,2024,2,3,EUR
MED_ACIDOFOLICO,acidofolico,espana,2024,3,10,EUR
MED_ACIDOFOLICO,acidofolico,espana,2024,4,2,EUR
MED_ACIDOFOLICO,acidofolico,espana,2024,5,22,EUR
MED_ACIDOFOLICO,acidofolico,espana,2024,6,8,EUR
MED_ACIDOFOLICO,acidofolico,espana,2025,1,16,EUR
MED_ACIDOFOLICO,acidofolico,espana,2025,2,23,EUR
MED_ACIDOFOLICO,acidofolico,espana,2025,3,11,EUR
MED_ACIDOFOLICO,acidofolico,espana,2025,4,22,EUR
MED_ACIDOFOLICO,acidofolico,espana,2025,5,12,EUR
MED_ACIDOFOLICO,acidofolico,espana,2025,6,7,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2023,1,14,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2023,2,20,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2023,3,10,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2023,4,9,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2023,5,14,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2023,6,7,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2024,1,33,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2024,2,18,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2024,3,3,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2024,4,3,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2024,5,13,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2024,6,6,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2025,1,23,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2025,2,13,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2025,3,12,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2025,4,5,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2025,5,11,EUR
MED_ACIDOFOLICO,acidofolico,estados_unidos,2025,6,15,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2023,1,6,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2023,2,11,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2023,3,13,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2023,4,8,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2023,5,6,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2023,6,26,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2024,1,16,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2024,2,13,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2024,3,10,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2024,4,126,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2024,5,7,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2024,6,9,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2025,1,19,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2025,2,22,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2025,3,18,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2025,4,2,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2025,5,10,EUR
MED_ACIDOFOLICO,acidofolico,mexico,2025,6,20,EUR
MED_AMLODIPINO,amlodipino,espana,2023,1,45,EUR
MED_AMLODIPINO,amlodipino,espana,2023,2,53,EUR
MED_AMLODIPINO,amlodipino,espana,2023,3,42,EUR
MED_AMLODIPINO,amlodipino,espana,2023,4,55,EUR
MED_AMLODIPINO,amlodipino,espana,2023,5,37,EUR
MED_AMLODIPINO,amlodipino,espana,2023,6,25,EUR
MED_AMLODIPINO,amlodipino,espana,2024,1,175,EUR
MED_AMLODIPINO,amlodipino,espana,2024,2,31,EUR
MED_AMLODIPINO,amlodipino,espana,2024,3,37,EUR
MED_AMLODIPINO,amlodipino,espana,2024,4,42,EUR
MED_AMLODIPINO,amlodipino,espana,2024,5,27,EUR
MED_AMLODIPINO,amlodipino,espana,2024,6,34,EUR
MED_AMLODIPINO,amlodipino,espana,2025,1,42,EUR
MED_AMLODIPINO,amlodipino,espana,2025,2,40,EUR
MED_AMLODIPINO,amlodipino,espana,2025,3,47,EUR
MED_AMLODIPINO,amlodipino,espana,2025,4,47,EUR
MED_AMLODIPINO,amlodipino,espana,2025,5,37,EUR
MED_AMLODIPINO,amlodipino,espana,2025,6,20,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2023,1,20,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2023,2,26,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2023,3,38,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2023,4,44,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2023,5,22,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2023,6,52,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2024,1,40,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2024,2,32,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2024,3,41,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2024,4,19,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2024,5,43,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2024,6,29,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2025,1,28,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2025,2,34,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2025,3,134,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2025,4,37,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2025,5,61,EUR
MED_AMLODIPINO,amlodipino,estados_unidos,2025,6,41,EUR
MED_AMLODIPINO,amlodipino,mexico,2023,1,34,EUR
MED_AMLODIPINO,amlodipino,mexico,2023,2,33,EUR
MED_AMLODIPINO,amlodipino,mexico,2023,3,43,EUR
MED_AMLODIPINO,amlodipino,mexico,2023,4,35,EUR
MED_AMLODIPINO,amlodipino,mexico,2023,5,37,EUR
MED_AMLODIPINO,amlodipino,mexico,2023,6,45,EUR
MED_AMLODIPINO,amlodipino,mexico,2024,1,28,EUR
MED_AMLODIPINO,amlodipino,mexico,2024,2,31,EUR
MED_AMLODIPINO,amlodipino,mexico,2024,3,27,EUR
MED_AMLODIPINO,amlodipino,mexico,2024,4,39,EUR
MED_AMLODIPINO,amlodipino,mexico,2024,5,34,EUR
MED_AMLODIPINO,amlodipino,mexico,2024,6,43,EUR
MED_AMLODIPINO,amlodipino,mexico,2025,1,32,EUR
MED_AMLODIPINO,amlodipino,mexico,2025,2,37,EUR
MED_AMLODIPINO,amlodipino,mexico,2025,3,22,EUR
MED_AMLODIPINO,amlodipino,mexico,2025,4,35,EUR
MED_AMLODIPINO,amlodipino,mexico,2025,5,46,EUR
MED_AMLODIPINO,amlodipino,mexico,2025,6,35,EUR
MED_AMOXICILINA,amoxicilina,espana,2023,1,3,EUR
MED_AMOXICILINA,amoxicilina,espana,2023,2,7,EUR
MED_AMOXICILINA,amoxicilina,espana,2023,3,9,EUR
MED_AMOXICILINA,amoxicilina,espana,2023,4,7,EUR
MED_AMOXICILINA,amoxicilina,espana,2023,5,14,EUR
MED_AMOXICILINA,amoxicilina,espana,2024,1,9,EUR
MED_AMOXICILINA,amoxicilina,espana,2024,2,10,EUR
MED_AMOXICILINA,amoxicilina,espana,2024,3,131,EUR
MED_AMOXICILINA,amoxicilina,espana,2024,4,1,EUR
MED_AMOXICILINA,amoxicilina,espana,2024,5,5,EUR
MED_AMOXICILINA,amoxicilina,espana,2024,6,17,EUR
MED_AMOXICILINA,amoxicilina,espana,2025,1,10,EUR
MED_AMOXICILINA,amoxicilina,espana,2025,2,14,EUR
MED_AMOXICILINA,amoxicilina,espana,2025,3,5,EUR
MED_AMOXICILINA,amoxicilina,espana,2025,4,2,EUR
MED_AMOXICILINA,amoxicilina,espana,2025,5,12,EUR
MED_AMOXICILINA,amoxicilina,espana,2025,6,3,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2023,1,4,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2023,2,6,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2023,3,4,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2023,4,1,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2023,5,12,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2023,6,12,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2024,1,12,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2024,2,8,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2024,3,5,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2024,4,9,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2024,5,11,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2024,6,5,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2025,1,5,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2025,2,27,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2025,3,13,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2025,4,4,EUR
MED_AMOXICILINA,amoxicilina,estados_unidos,2025,5,6,EUR
MED_AMOXICILINA,amoxicilina,mexico,2023,1,4,EUR
MED_AMOXICILINA,amoxicilina,mexico,2023,2,4,EUR
MED_AMOXICILINA,amoxicilina,mexico,2023,3,12,EUR
MED_AMOXICILINA,amoxicilina,mexico,2023,4,15,EUR
MED_AMOXICILINA,amoxicilina,mexico,2023,5,11,EUR
MED_AMOXICILINA,amoxicilina,mexico,2023,6,10,EUR
MED_AMOXICILINA,amoxicilina,mexico,2024,1,2,EUR
MED_AMOXICILINA,amoxicilina,mexico,2024,2,3,EUR
MED_AMOXICILINA,amoxicilina,mexico,2024,4,8,EUR
MED_AMOXICILINA,amoxicilina,mexico,2024,5,10,EUR
MED_AMOXICILINA,amoxicilina,mexico,2024,6,7,EUR
MED_AMOXICILINA,amoxicilina,mexico,2025,1,5,EUR
MED_AMOXICILINA,amoxicilina,mexico,2025,2,14,EUR
MED_AMOXICILINA,amoxicilina,mexico,2025,3,11,EUR
MED_AMOXICILINA,amoxicilina,mexico,2025,4,139,EUR
MED_AMOXICILINA,amoxicilina,mexico,2025,5,8,EUR
MED_AMOXICILINA,amoxicilina,mexico,2025,6,9,EUR
MED_ATORVASTATINA,atorvastatina,espana,2023,1,40,EUR
MED_ATORVASTATINA,atorvastatina,espana,2023,2,46,EUR
MED_ATORVASTATINA,atorvastatina,espana,2023,3,46,EUR
MED_ATORVASTATINA,atorvastatina,espana,2023,4,58,EUR
MED_ATORVASTATINA,atorvastatina,espana,2023,5,61,EUR
MED_ATORVASTATINA,atorvastatina,espana,2023,6,170,EUR
MED_ATORVASTATINA,atorvastatina,espana,2024,1,50,EUR
MED_ATORVASTATINA,atorvastatina,espana,2024,2,59,EUR
MED_ATORVASTATINA,atorvastatina,espana,2024,3,67,EUR
MED_ATORVASTATINA,atorvastatina,espana,2024,4,35,EUR
MED_ATORVASTATINA,atorvastatina,espana,2024,5,31,EUR
MED_ATORVASTATINA,atorvastatina,espana,2024,6,65,EUR
MED_ATORVASTATINA,atorvastatina,espana,2025,1,62,EUR
MED_ATORVASTATINA,atorvastatina,espana,2025,2,141,EUR
MED_ATORVASTATINA,atorvastatina,espana,2025,3,178,EUR
MED_ATORVASTATINA,atorvastatina,espana,2025,4,71,EUR
MED_ATORVASTATINA,atorvastatina,espana,2025,5,53,EUR
MED_ATORVASTATINA,atorvastatina,espana,2025,6,144,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2023,1,35,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2023,2,35,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2023,3,46,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2023,4,57,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2023,5,50,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2023,6,34,EUR
MED_ATORVASTATINA,atorvastatina,estados_unidos,2024,1,25,EUR
